firstAuthorLastName,year,fullTitle,screeningStatus,inclusionCriterionViolated,articleDownloaded,articleDownloadedNotes,performanceMeasure,performanceMeasurePage,experienceMeasure,experienceMeasurePage
Mango,1995,Revolutionizing maintenance on the space shuttle,Exclude,Criterion 1 Violated,,,,,,
Bieringsorensen,1995,A CLINICAL COMPARATIVE INVESTIGATION OF A NONLINEAR VERSUS LINEAR HEARING-AID,Exclude,Criterion 4 Violated,,,,,,
Gordinier,1995,THE EFFECTS OF A COURSE IN CADAVER DISSECTION ON RESIDENT KNOWLEDGE OF PELVIC ANATOMY - AN EXPERIMENTAL-STUDY,Further Review,,Yes,,"All participants took a practical examination involving recognition of anatomic structures on a cadaver, and a written examination. ",137-138,First- and second-yeat residents in Brown University School of Medicine ,137
Marras,1995,THE CLASSIFICATION OF ANATOMIC-BASED AND SYMPTOM-BASED LOW-BACK DISORDERS USING MOTION MEASURE MODELS,Exclude,Criterion 1 Violated,,,,,,
ElZahaar,1996,The value of the continuous passive motion after repair of the rotator cuff tear in athletes (An arthroscopic study),Exclude,,,,,,,
Stanton,1996,Function of the upper extremities in hereditary multiple exostoses,Exclude,Criterion 1 Violated,,,,,,
ONeill ,1996,Objectively assessing nursing practices: A curricular development,Exclude,Criterion 3 Violated,,,,,,
Kankaanpaa,1999,"The efficacy of active rehabilitation in chronic low back pain - Effect on pain intensity, self-experienced disability, and lumbar fatigability",Exclude,Criterion 1 Violated,,,,,,
Kikoski,1999,Effective communication in the performance appraisal interview: Face-to-face communication for public managers in the culturally diverse workplace,Exclude,Criterion 1 Violated,,,,,,
Williamson,1999,"A video-based performance in noise test for measuring audio-visual disability in young school children: test development, with validation by trained teachers, parents and audiometry as relative standards for disability",Exclude,Criterion 1 Violated,,,,,,
Guo,2000,Self-reported and performance-based mobility related to instrumental activities of daily living in women aged 62 years and older. A population study,Exclude,Criterion 1 Violated,,,,,,
Pinson,2000,Health-related quality of life after different types of solid organ transplantation,Exclude,Criterion 1 Violated,,,,,,
Gopal,2001,Comparison of two total body irradiation fractionation regimens with respect to acute and late pulmonary toxicity,Exclude,Criterion 1 Violated,,,,,,
Landers,2001,"The interrelationship among muscle mass, strength, and the ability to perform physical tasks of daily living in younger and older women",Exclude,Criterion 1 Violated,,,,,,
van Dijk ,2001,Wageningen Evaluating Programmes for Analytical Laboratories (WEPAL): A world of experience,Exclude,Criterion 1 Violated,,,,,,
Wanzel ,2002,"Teaching technical skills: Training on a simple, inexpensive, and portable model",Further Review,,Yes,,Checklist and global scale as evaluation instruments to assess each subjects performance. ,259,Thirty-seven first-year and second-year post-graduate trainees from all surgical specialties at the University of Toronto. ,259
Birndorf,2002,Teaching the mental status examination to medical students by using a standardized patient in a large group setting,Exclude,Criterion 1 Violated,,,,,,
Gerdhem,2003,Bone mass cannot be predicted by estimations of frailty in elderly ambulatory women,Exclude,Criterion 1 Violated,,,,,,
Goodwin,2003,Symptoms related to sleep-disordered breathing in white and Hispanic children - The Tucson Children's Assessment of Sleep Apnea Study,Exclude,Criterion 1 Violated,,,,,,
Muller,2003,A framework for benchmarking in CBIR,Exclude,Criterion 1 Violated,,,,,,
Catbas,2003,Nondestructive evaluation of tuned-mass-damper-type vibration absorbers using vibration signatures,Exclude,Criterion 1 Violated,,,,,,
Kelly,2005,Electrophysiological and speech perception measures of auditory processing in experienced adult cochlear implant users,Exclude,Criterion 1 Violated,,,,,,
Burch,2005,A structured assessment of newly qualified medical graduates,Exclude,Criterion 3 Violated,,,,,,
Sharpe,2005,"Randomized comparison of standard laparoscopic trainer to novel, at-home, low-cost, camera-less laparoscopic trainer",Further Review,,No,No FSU direct access or google scholar link,,,,
Freeman,2005,Measures of visual function and time to driving cessation in older adults,Exclude,Criterion 1 Violated,,,,,,
Saus,2006,The effect of brief situational awareness training in a police shooting simulator: An experimental study,Further Review,,Yes,,"The computer displayed realistic video-based simulated scenarios designed to test the student’s judgment and skill in the use of deadly force under stressful conditions. The system registered movements of the weapon, number of shots fired, and the effect of each bullet and point of impact.",S7,"""Previous experience with weapons were also recorded"" ",S7
Orabi,2006,Cochlear implant outcomes and quality of life in the elderly: Manchester experience over 13 years,Exclude,Criterion 1 Violated,,,,,,
Hassan,2006,Improvement of surgical skills after a three-day practical course for laparoscopic surgery,Further Review,,,,,,,
Smilde-van den Doel,2006,School performance and social-emotional behavior of primary school children before and after a disaster,Exclude,Criterion 1 Violated,,,,,,
Ekstrom,2006,"Pain and fractures are independently related to lower walking speed and grip strength - Results from the population study ""Good Ageing in Skine""",Exclude,Criterion 1 Violated,,,,,,
Papandrea,2007,Reconstruction for persistent instability of the elbow after coronoid fracture-dislocation,Exclude,Criterion 1 Violated,,,,,,
Wilasrusmee,2007,A New Vascular Anastomosis Model: Relation between Outcome and Experience,Further Review,,Yes,,Assessed based on the new vascular anastomosis training model and a questionnaire,209,"Fourteen first-yeat surgical residents, one vascular surgery fellow, nine second-year, six third-year, and eight fourth-year general surgery residents.",209
Schaefer,2007,Experience with new teaching methods and testing in psychiatric training,Exclude,Critetion 3 Violated,,,,,,
Berger,2007,"Values of sleep/wake, activity/rest, circadian rhythms, and fatigue prior to adjuvant breast cancer chemotherapy",Exclude,Criterion 1 Violated,,,,,,
Innes,2007,Sensory-motor and cognitive tests predict driving ability of persons with brain disorders,Exclude,Criterion 4 Violated,,,,,,
Kocak,2007,Outcome of metastatic non-small cell lung carcinoma patients receiving docetaxel-cisplatin combination chemotherapy: single institution experience,Exclude,Criterion 1 Violated,,,,,,
McCluney,2007,FLS simulator performance predicts intraoperative laparoscopic skill,Further Review,,Yes,,"Used performance assesment tools such as ""GOALS"" and The FLS skills testing system. ",1992-1993,"22 novice (PGY 1–2), 10 intermediate (PGY 3–4), and 8 experienced (PGY 5, fellows, and attendings) laparoscopic surgeons.",1992
Izquierdo,2008,Functional capacity evaluation in a clinical and ambulatory setting: new challenges of accelerometry to assessment balance and muscle power in aging population,Exclude,Criterion 1 Violated,,,,,,
Newton,2008,Cognitive impairment in primary biliary cirrhosis: Symptom impact and potential etiology,Exclude,Criterion 1 Violated,,,,,,
Friedman,2008,Teaching Lifesaving Procedures: The Impact of Model Fidelity on Acquisition and Transfer of Cricothyrotomy Skills to Performance on Cadavers,Further Review,,Yes,,Took a pretest and posttest before and after training sessions. ,1664,First and second year anesthesiology residents,1664
Rhienmora,2009,Providing Objective Feedback on Skill Assessment in a Dental Surgical Training Simulator,Further Review,,No,No FSU direct access or google scholar link,,,,
Pellen,2009,Construct validity of the ProMIS laparoscopic simulator,Further Review,,Yes,,Assessed in three tasks identified as most representative of the range of basic dexterity skills required in laparoscopic surgery,131,Volunteers recruited from four experience groups. ,131
Bell,2009,Operative Experience of Residents in US General Surgery Programs A Gap Between Expectation and Experience,Exclude,Criterion 2 Violated,,,,,,
Van Steenbergen,2009,Is managing the work-family interface worthwhile? Benefits for employee health and performance,Exclude,Criterion 1 Violated,,,,,,
Coez,2009,Processing of voices in deafness rehabilitation by auditory brainstem implant,Exclude,Criterion 1 Violated,,,,,,
Missiuna,2010,Exploring the Use of Cognitive Intervention for Children with Acquired Brain Injury,Exclude,Criterion 1 Violated,,,,,,
Uppal,2010,Resident Competency in Obstetric Anal Sphincter Laceration Repair,Exclude,Criterion 1 and 3 Violated,,,,,,
Forberg,2010,"Subjective and objective sleep and sleepiness among tunnel workers in an extreme and isolated environment: 10-h shifts, 21-day working period, at 78 degrees north",Exclude,Criterion 1 Violated,,,,,,
Autorino,2010,Laparoscopic Training in Urology: Critical Analysis of Current Evidence,Exclude,Criterion 1 Violated,,,,,,
Schuster,2010,Objectively-assessed outcome measures: a translation and cross-cultural adaptation procedure applied to the Chedoke McMaster Arm and Hand Activity Inventory (CAHAI),Exclude,Criterion 4 Violated,,,,,,
Sedlack,2010,The Mayo Colonoscopy Skills Assessment Tool: validation of a unique instrument to assess colonoscopy skills in trainees,Exclude,Criterion 1 Violated,,,,,,
Goodwin,2011,A Computer-Aided Diagnosis for Evaluating Lung Nodules on Chest CT: the Current Status and Perspective,Exclude ,Criterion 4 Violated,,,,,,
Fox,2011,Do Procedures for Verbal Reporting of Thinking Have to Be Reactive? A Meta-Analysis and Recommendations for Best Reporting Methods,Exclude,Criterion 1 Violated,,,,,,
Stenholm,2011,Self-Reported Sleep Duration and Time in Bed as Predictors of Physical Function Decline: Results from the InCHIANTI Study,Exclude,Criterion 1 Violated,,,,,,
