firstAuthorLastName,year,fullTitle,screeningStatus,inclusionCriterionViolated,articleDownloaded,articleDownloadedNotes,performanceMeasure,performanceMeasurePage,experienceMeasure,experienceMeasurePage
Czaja,1993,AGE-DIFFERENCES IN THE PERFORMANCE OF COMPUTER-BASED WORK,Further Review,,yes,,"The three experimental tasks designed for this study, which wereintended to be representative of computer-interactive tasks performedin the real world, consisted of (a) a data-entry task, (b) a file-modifica-tion task, and (c) an inventory-management task.",60,"Subjects were asked to indicate whether they had previous experi-ence with computers and if so to indicate the amount of experience ona 5-point scale (0-6 months, 6 months-1 year, 1-3 years, 3-5 years, ormore than 5 years).",60
Eitel,1997,The crisis of medical education,Exclude,Violates Criterion 2,,,,,,
Sattler,1999,A flight simulator study of enhanced/synthetic vision for helicopter search and rescue - Systems development and en route objective performance,Exclude,Violates Criterion 4,,,,,,
Moidl,2000,Does the Ross operation fulfil the Objective Performance Criteria established for new prosthetic heart valves?,Exclude,Violates Criterion 4,,,,,,
Williams,2004,Evaluation of academic and community surgery clerkships at a Midwestern medical school,Exclude,Violates Criterion 1,,,,,,
Grunkemeier,2006,Prosthetic heart valves: Objective performance criteria versus randomized clinical trial,Exclude,Violates Criterion 4,,,,,,
Sampsel,2007,Methods to develop arthritis and osteoporosis measures: a view from the National Committee for Quality Assurance (NCQA),Exclude,Violates Criterion 4,,,,,,
Freeman,2008,The effects of perceived and received support on objective performance outcome,Exclude,Violates Criterion 1,,,,,,
Pellen,2009,Construct validity of the ProMIS laparoscopic simulator,Further Review,,yes,," All subjects completed questionnaires and three tasks on the ProMIS laparoscopic simulator (laparoscope orientation, object positioning, sharp dissection). ",130,"Volunteers were recruited from four experience groups (consultant surgeon, senior trainee, junior trainee, medical student). ",130
Schanzer,2009,Impact of Comorbidities on Decision-Making in Chronic Critical Limb Ischemia,Exclude,Violates Criterion 4,,,,,,
Chen,2010,An Initial Study into the Context of Use of a Web-Based Prognostics Scoring System that Supports the Aged Day-Care Service (ADCS) in Taiwan,Exclude,Violates Criterion 4,,,,,,
Taylor,2010,Discharge planning for patients receiving rehabilitation after hip fracture: A qualitative analysis of physiotherapists' perceptions,Exclude,Violates Criterion 2,,,,,,
Niessen,2010,Age and adaptation to changes in the workplace,Exclude,Violates Criterion 2,,,,,,
Burstein,2010,The effect of parental modeling of anxious behaviors and cognitions in school-aged children: An experimental pilot study,Exclude,Violates Criterion 4,,,,,,
